iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2025 1 0 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.5 89.29 -3.49 96.7 0.23 0.0 -999.0 290.37 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 1 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.52 89.21 -3.63 96.62 0.26 0.0 -999.0 285.99 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 2 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.3 90.71 -3.87 96.59 0.14 0.0 -999.0 268.06 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 3 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.44 88.84 -3.84 96.52 0.09 0.0 -999.0 284.8 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 4 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.63 88.48 -3.99 96.49 0.06 0.0 -999.0 280.91 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 5 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.98 87.53 -4.1 96.49 0.08 0.0 -999.0 284.41 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.92 87.15 -4.25 96.47 0.34 0.0 -999.0 286.14 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.82 86.6 -4.43 96.47 0.18 0.0 -999.0 277.28 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.91 85.84 -4.74 96.48 0.15 0.0 -999.0 278.66 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.35 85.44 -4.96 96.51 0.13 2.26 -999.0 278.86 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 10 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.9 82.16 -4.16 96.51 0.12 16.21 -999.0 279.4 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 11 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.36 80.81 -4.0 96.46 0.14 31.41 -999.0 274.62 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 1 12 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.1 79.86 -3.85 96.45 0.2 41.55 -999.0 273.81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
