valid_time,wdir,wind_speed,t2m,d2m,sp,blh,ustar,Obukhov,sdfor,obukhov_qc,wind_direction_source,wind_speed_source,temperature_source,dewpoint_source,pressure_source
2024-01-01T00:00:00Z,49.0000,3.6000,269.450,267.450,99900.00,733.497,0.76378,5995.3006,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T01:00:00Z,39.0000,3.1000,269.250,268.150,99900.00,735.909,0.78070,5330.1070,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T02:00:00Z,40.0000,3.6000,269.250,267.850,99830.00,750.312,0.78731,4433.7760,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T03:00:00Z,42.0000,4.4000,269.150,267.850,99820.00,765.402,0.77360,3691.2815,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T04:00:00Z,42.0000,3.7000,268.950,267.850,99820.00,783.359,0.75444,3021.6877,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T05:00:00Z,35.0000,3.2000,268.850,267.150,99820.00,806.112,0.73498,2739.6788,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T06:00:00Z,30.0000,3.6000,268.650,267.450,99870.00,829.212,0.73783,2495.5623,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T07:00:00Z,31.0000,3.5000,268.550,267.450,99910.00,840.440,0.75047,2556.2015,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T08:00:00Z,34.0000,3.7000,268.650,267.150,99940.00,855.977,0.77141,2427.4417,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T09:00:00Z,32.0000,3.7000,268.450,266.850,99950.00,862.646,0.79099,2822.0323,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T10:00:00Z,29.0000,4.1000,268.450,266.850,100000.00,782.955,0.80498,6828.8168,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T11:00:00Z,30.0000,4.5000,268.550,266.450,100030.00,797.899,0.79187,7742.2696,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T12:00:00Z,21.0000,3.8000,268.650,266.450,100030.00,805.184,0.76708,5985.7174,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2024-01-01T13:00:00Z,23.0000,3.7000,268.650,267.150,100050.00,785.230,0.74907,3033.5994,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
