valid_time,wdir,wind_speed,t2m,d2m,sp,blh,ustar,Obukhov,sdfor,obukhov_qc,wind_direction_source,wind_speed_source,temperature_source,dewpoint_source,pressure_source
2025-01-01T00:00:00Z,1.0000,2.7000,269.450,269.350,98250.00,637.951,0.63917,11480.4881,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T01:00:00Z,2.0000,2.4000,269.150,269.050,98160.00,603.902,0.56099,2160.3552,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T02:00:00Z,1.0000,2.3000,269.150,268.750,98110.00,560.653,0.47725,-17663.7239,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T03:00:00Z,353.0000,2.5000,268.850,268.150,98110.00,565.022,0.54775,-7131.2617,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T04:00:00Z,347.0000,3.5000,268.550,267.850,98040.00,579.512,0.55508,-2690.0830,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T05:00:00Z,2.0000,3.3000,268.250,267.150,98020.00,593.359,0.60270,-2685.6397,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T06:00:00Z,353.0000,2.8000,268.150,267.150,98040.00,585.692,0.60045,-3356.4885,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T07:00:00Z,4.0000,3.7000,268.050,266.850,98020.00,589.685,0.59584,-1424.5772,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T08:00:00Z,8.0000,3.5000,267.850,266.150,98020.00,600.855,0.61086,-1770.2845,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T09:00:00Z,2.0000,3.5000,267.850,266.150,98040.00,617.062,0.65334,-1662.3408,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T10:00:00Z,4.0000,3.0000,267.750,267.150,98070.00,666.329,0.60973,-880.7433,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T11:00:00Z,3.0000,3.5000,267.650,266.850,98070.00,672.566,0.66008,-1017.4088,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T12:00:00Z,1.0000,3.3000,267.950,266.150,97990.00,671.623,0.64548,-995.7754,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T13:00:00Z,4.0000,3.7000,267.950,266.850,97950.00,658.454,0.67033,-1350.5523,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T14:00:00Z,2.0000,3.9000,267.850,267.150,97920.00,631.019,0.66757,-2086.1960,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T15:00:00Z,6.0000,3.9000,267.850,266.850,97940.00,599.944,0.66828,-3464.4041,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T16:00:00Z,11.0000,3.8000,267.950,266.850,97960.00,577.213,0.64941,-4016.7884,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T17:00:00Z,359.0000,4.5000,267.850,266.150,98040.00,546.000,0.62255,-2702.9922,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T18:00:00Z,354.0000,3.8000,267.850,265.750,98110.00,505.109,0.57430,-3873.5970,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T19:00:00Z,347.0000,3.4000,267.850,264.650,98160.00,438.967,0.52512,3275.7197,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T20:00:00Z,349.0000,2.4000,267.350,263.750,98200.00,380.698,0.53028,2200.1285,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T21:00:00Z,344.0000,3.2000,267.350,263.750,98280.00,341.301,0.49750,1001.5679,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T22:00:00Z,313.0000,2.0000,266.550,263.350,98330.00,328.441,0.55910,765.1094,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-01T23:00:00Z,324.0000,1.4000,265.050,263.750,98410.00,255.078,0.51291,690.1347,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T00:00:00Z,318.0000,1.4000,265.950,263.350,98420.00,193.615,0.45201,487.9056,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T01:00:00Z,315.0000,1.2000,265.050,264.250,98460.00,156.675,0.37587,245.2233,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T02:00:00Z,71.0000,0.6000,261.550,260.450,98510.00,119.881,0.27304,163.3789,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T03:00:00Z,64.0000,1.0000,260.250,259.950,98570.00,94.638,0.19189,81.6283,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T04:00:00Z,52.0000,1.0000,260.550,260.450,98570.00,76.029,0.17229,61.4568,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T05:00:00Z,63.0000,0.7000,259.450,259.950,98590.00,65.923,0.17172,57.2813,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T06:00:00Z,71.0000,0.7000,259.150,258.750,98590.00,69.021,0.19650,74.3028,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T07:00:00Z,72.0000,1.1000,260.150,258.750,98620.00,71.539,0.22155,103.7454,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T08:00:00Z,51.0000,1.4000,259.250,259.350,98640.00,74.270,0.24620,176.7747,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T09:00:00Z,31.0000,0.5000,259.550,260.450,98680.00,74.900,0.28246,459.8648,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T10:00:00Z,60.0000,1.0000,260.850,259.950,98720.00,83.356,0.40772,-348.0710,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T11:00:00Z,40.0000,0.5000,262.250,260.450,98680.00,91.862,0.41530,-537.9258,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T12:00:00Z,48.0000,0.4000,263.750,262.950,98710.00,97.636,0.39597,-30161.1323,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T13:00:00Z,300.0000,0.7000,263.150,262.450,98710.00,96.701,0.34487,515.0653,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T14:00:00Z,320.0000,0.2000,262.850,261.550,98720.00,86.857,0.29893,291.5324,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T15:00:00Z,99.0000,0.6000,262.050,260.450,98760.00,88.627,0.31409,243.1553,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T16:00:00Z,76.0000,1.0000,261.250,258.750,98800.00,181.087,0.34787,215.5098,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T17:00:00Z,357.0000,0.8000,264.150,261.050,98830.00,258.953,0.39070,192.1908,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T18:00:00Z,40.0000,0.2000,260.650,261.550,98850.00,257.949,0.38100,170.4047,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T19:00:00Z,247.0000,0.6000,262.450,259.350,98890.00,234.847,0.33682,144.0012,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T20:00:00Z,21.0000,0.2000,265.250,259.950,98880.00,107.852,0.22483,78.4886,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T21:00:00Z,39.0000,0.8000,259.350,259.950,98830.00,99.374,0.25750,82.8751,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T22:00:00Z,343.0000,0.4000,262.850,260.450,98780.00,144.002,0.25399,144.2517,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
2025-01-02T23:00:00Z,31.0000,0.7000,262.250,261.950,98720.00,89.730,0.23087,126.3016,53.028,sdfor_ge_50m,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN76914:0:q0,frost:SN17850:0:qderived,frost:SN76914:0:q0
