 Wd pai   fai   zH  zHmax   zHstd zd z0
  0 0.232 0.353 9.723 27.560 5.354 12.647 1.533
  1 0.263 0.385 10.466 29.859 5.583 14.062 1.604
  2 0.245 0.396 9.644 23.364 4.910 12.246 1.511
  3 0.250 0.375 10.173 26.963 5.161 13.137 1.524
  4 0.258 0.448 10.789 24.831 5.334 13.729 1.734
  5 0.231 0.397 10.200 24.124 5.094 12.588 1.634
  6 0.269 0.402 10.839 23.226 5.263 13.788 1.581
  7 0.266 0.429 10.702 21.813 5.273 13.521 1.647
  8 0.268 0.428 9.197 23.177 4.394 11.869 1.382
  9 0.265 0.428 10.191 25.528 5.086 13.256 1.583
 10 0.252 0.338 8.872 25.342 4.703 11.729 1.280
 11 0.250 0.378 10.551 26.474 5.547 13.686 1.624
 12 0.329 0.482 10.146 26.511 4.912 14.119 1.439
 13 0.288 0.505 10.391 26.148 5.180 13.895 1.687
 14 0.264 0.426 9.616 25.339 4.583 12.401 1.452
 15 0.235 0.405 11.769 24.934 5.191 13.915 1.779
 16 0.263 0.403 10.312 28.031 5.125 13.482 1.550
 17 0.293 0.457 10.077 24.164 4.831 13.335 1.488
 18 0.341 0.482 9.414 26.623 4.347 13.181 1.250
 19 0.280 0.402 9.109 24.574 4.536 12.168 1.318
 20 0.337 0.504 10.463 24.334 4.717 14.207 1.412
 21 0.377 0.522 9.912 25.506 4.488 14.144 1.240
 22 0.316 0.439 8.299 26.211 4.187 11.747 1.186
 23 0.299 0.375 8.803 23.912 4.457 12.083 1.187
 24 0.298 0.410 8.520 23.315 4.434 11.784 1.243
 25 0.294 0.398 7.998 26.367 3.875 10.964 1.096
 26 0.342 0.476 8.094 21.840 4.061 11.572 1.142
 27 0.419 0.465 8.162 20.268 4.214 12.489 0.975
 28 0.411 0.459 8.484 21.389 3.904 12.485 0.907
 29 0.425 0.500 8.691 27.204 4.254 13.426 1.009
 30 0.441 0.554 9.707 26.446 4.736 14.991 1.148
 31 0.417 0.552 10.754 29.702 5.377 16.447 1.389
 32 0.432 0.552 10.712 25.906 4.980 16.020 1.227
 33 0.394 0.461 9.693 25.806 4.849 14.498 1.183
 34 0.375 0.418 10.490 24.700 4.957 14.985 1.192
 35 0.371 0.444 10.181 24.830 5.441 15.090 1.375
 36 0.330 0.430 11.158 25.578 5.705 15.573 1.544
 37 0.352 0.473 9.628 25.122 5.428 14.358 1.488
 38 0.320 0.469 10.225 27.681 5.826 14.891 1.680
 39 0.292 0.450 9.761 26.700 5.525 13.773 1.628
 40 0.281 0.350 9.245 26.809 5.131 12.873 1.330
 41 0.309 0.363 9.646 27.291 5.216 13.719 1.316
 42 0.293 0.281 9.380 21.827 4.267 12.183 0.982
 43 0.322 0.275 8.512 17.336 3.561 10.977 0.762
 44 0.306 0.242 8.569 18.521 3.505 10.889 0.719
 45 0.315 0.261 8.338 18.577 3.670 10.938 0.757
 46 0.331 0.289 8.666 24.413 4.148 12.135 0.865
 47 0.347 0.363 8.470 22.574 3.979 11.920 0.937
 48 0.288 0.245 7.804 19.775 3.744 10.329 0.775
 49 0.289 0.298 7.621 18.092 3.461 9.875 0.838
 50 0.237 0.271 7.935 20.831 3.873 9.948 0.977
 51 0.234 0.300 8.932 21.986 4.313 11.029 1.181
 52 0.239 0.248 8.428 19.099 3.930 10.260 0.952
 53 0.216 0.243 7.630 18.217 3.910 9.293 0.943
 54 0.227 0.305 8.197 24.664 4.376 10.551 1.174
 55 0.219 0.242 7.311 25.100 4.354 9.773 0.971
 56 0.218 0.202 7.624 24.300 4.578 10.135 0.893
 57 0.181 0.173 7.164 18.889 3.585 8.277 0.754
 58 0.176 0.187 7.010 16.682 3.658 8.015 0.805
 59 0.205 0.199 7.165 19.318 4.008 8.952 0.822
 60 0.183 0.245 7.643 20.560 4.319 9.225 1.071
 61 0.192 0.197 8.016 20.998 4.293 9.631 0.925
 62 0.164 0.146 9.371 21.694 5.085 10.541 0.927
 63 0.251 0.242 8.784 23.612 4.618 11.492 1.007
 64 0.222 0.247 8.199 21.241 4.370 10.304 1.030
 65 0.217 0.279 7.601 19.960 3.786 9.300 1.016
 66 0.229 0.248 7.640 20.412 4.032 9.704 0.941
 67 0.231 0.193 8.342 20.502 4.203 10.376 0.827
 68 0.232 0.241 8.569 20.285 4.402 10.688 1.011
 69 0.201 0.224 7.339 20.964 4.061 9.133 0.920
 70 0.151 0.124 7.276 17.711 3.058 7.487 0.615
 71 0.156 0.150 6.546 17.754 3.216 7.192 0.661
 72 0.179 0.133 5.939 18.981 2.613 6.734 0.485
 73 0.157 0.146 6.180 15.718 2.822 6.615 0.600
 74 0.204 0.184 6.514 20.456 3.222 7.957 0.665
 75 0.147 0.153 6.482 19.250 3.470 7.252 0.700
 76 0.210 0.231 7.262 24.288 4.098 9.378 0.923
 77 0.167 0.163 6.098 14.673 2.957 6.723 0.634
 78 0.156 0.162 7.094 22.784 4.029 8.327 0.790
 79 0.132 0.110 6.354 15.407 3.094 6.493 0.536
 80 0.163 0.190 6.511 22.489 4.043 8.037 0.833
 81 0.154 0.190 6.446 16.550 3.388 7.149 0.797
 82 0.185 0.190 6.943 26.606 3.882 8.700 0.807
 83 0.154 0.139 6.025 19.281 3.225 6.907 0.587
 84 0.147 0.198 6.494 18.027 2.987 6.891 0.824
 85 0.148 0.148 6.302 17.946 3.137 6.887 0.648
 86 0.086 0.130 5.960 15.648 2.480 5.158 0.688
 87 0.109 0.127 7.437 18.618 3.529 7.143 0.771
 88 0.094 0.115 6.995 19.481 3.718 6.730 0.713
 89 0.097 0.101 6.724 18.815 3.485 6.480 0.606
 90 0.078 0.081 6.596 18.190 3.298 5.873 0.520
 91 0.070 0.069 7.897 21.725 4.403 6.999 0.546
 92 0.130 0.143 9.989 20.389 4.535 9.697 1.047
 93 0.127 0.146 9.747 20.356 4.129 9.262 1.043
 94 0.137 0.131 9.067 20.333 4.534 9.347 0.874
 95 0.109 0.185 9.199 21.490 4.827 8.963 1.288
 96 0.146 0.196 8.030 19.574 3.913 8.500 1.024
 97 0.199 0.250 9.097 21.154 4.470 10.613 1.176
 98 0.166 0.188 9.541 21.877 4.540 10.376 1.103
 99 0.188 0.234 10.304 19.927 4.518 11.114 1.272
100 0.147 0.228 9.214 19.133 4.125 9.310 1.277
101 0.202 0.269 9.192 19.010 3.974 10.232 1.187
102 0.215 0.273 11.229 21.751 4.579 12.454 1.381
103 0.233 0.321 10.768 21.115 4.384 12.302 1.386
104 0.210 0.245 9.374 19.141 4.308 10.720 1.134
105 0.197 0.215 9.139 20.559 4.065 10.294 1.034
106 0.184 0.207 9.152 21.868 4.118 10.194 1.055
107 0.167 0.204 8.296 19.478 3.675 8.897 0.994
108 0.195 0.243 7.852 17.374 3.424 8.748 0.969
109 0.181 0.221 8.608 19.716 3.646 9.325 1.034
110 0.180 0.213 8.076 21.106 4.171 9.393 1.003
111 0.171 0.162 7.158 19.264 3.494 8.083 0.732
112 0.221 0.220 8.091 18.893 3.630 9.533 0.869
113 0.234 0.180 7.436 20.069 3.336 9.083 0.654
114 0.237 0.200 7.348 20.586 3.666 9.333 0.734
115 0.170 0.166 6.616 16.324 2.985 7.215 0.677
116 0.193 0.149 6.147 15.363 2.545 6.840 0.519
117 0.149 0.131 7.484 19.166 3.802 8.129 0.695
118 0.140 0.132 6.174 16.508 2.548 6.242 0.576
119 0.158 0.153 8.106 23.747 4.927 9.648 0.881
120 0.162 0.166 7.091 21.827 3.355 7.923 0.753
121 0.195 0.239 7.496 22.452 3.832 9.060 0.967
122 0.181 0.201 9.314 26.129 5.085 11.138 1.131
123 0.158 0.186 9.272 23.310 4.686 10.220 1.103
124 0.214 0.276 9.494 20.977 4.423 11.099 1.235
125 0.315 0.334 9.147 23.384 4.346 12.452 1.050
126 0.336 0.345 9.154 22.639 4.149 12.523 0.979
127 0.329 0.345 8.993 24.297 4.171 12.410 0.997
128 0.339 0.325 8.604 19.403 3.708 11.523 0.843
129 0.290 0.303 9.322 26.479 4.425 12.488 1.064
130 0.256 0.253 8.397 24.300 4.063 10.871 0.936
131 0.266 0.220 8.228 19.815 3.782 10.418 0.780
132 0.256 0.256 9.082 25.225 4.465 11.773 1.027
133 0.238 0.283 9.329 26.156 4.978 12.108 1.241
134 0.213 0.249 9.781 26.865 5.253 12.236 1.268
135 0.257 0.328 8.933 24.436 5.297 12.267 1.354
136 0.235 0.267 8.808 23.227 4.981 11.507 1.177
137 0.252 0.307 8.521 26.524 4.499 11.358 1.152
138 0.284 0.331 9.921 25.298 5.122 13.364 1.296
139 0.325 0.435 10.079 29.184 6.159 15.206 1.687
140 0.285 0.392 9.457 29.181 5.776 13.745 1.575
141 0.260 0.362 9.017 25.728 6.055 13.033 1.610
142 0.237 0.319 8.259 27.527 5.330 11.613 1.353
143 0.255 0.253 7.806 26.594 4.631 10.938 0.997
144 0.229 0.262 7.174 20.989 3.705 9.151 0.908
145 0.215 0.253 8.841 21.814 4.610 10.855 1.137
146 0.194 0.252 8.758 22.758 4.752 10.583 1.200
147 0.141 0.182 8.952 21.324 4.484 9.415 1.105
148 0.134 0.192 7.010 18.308 3.670 7.432 0.928
149 0.156 0.231 7.058 19.288 3.501 7.784 0.982
150 0.123 0.137 6.363 20.307 3.393 6.788 0.678
151 0.107 0.144 6.381 19.690 3.485 6.533 0.751
152 0.081 0.102 5.966 18.348 2.688 5.300 0.571
153 0.078 0.104 7.002 15.285 2.985 5.741 0.692
154 0.142 0.126 5.961 15.431 2.267 5.916 0.525
155 0.228 0.264 6.180 15.469 2.692 7.360 0.731
156 0.273 0.347 7.184 23.050 3.118 9.298 0.891
157 0.308 0.369 7.642 28.115 3.862 10.874 0.997
158 0.344 0.446 7.725 26.868 3.735 11.190 1.009
159 0.402 0.503 8.176 26.002 3.622 12.063 0.915
160 0.394 0.446 8.680 18.109 3.382 11.810 0.826
161 0.409 0.472 8.636 25.569 3.837 12.744 0.914
162 0.428 0.506 8.101 23.603 3.505 12.033 0.825
163 0.382 0.488 7.665 23.207 3.449 11.120 0.904
164 0.350 0.505 7.146 16.190 3.067 9.669 0.900
165 0.332 0.481 6.441 18.049 2.677 8.673 0.809
166 0.300 0.547 7.286 18.974 3.571 9.873 1.188
167 0.284 0.461 8.155 17.978 3.974 10.611 1.249
168 0.308 0.491 8.153 19.501 3.845 10.915 1.200
169 0.270 0.426 8.605 20.076 4.230 11.115 1.307
170 0.218 0.330 6.658 21.727 3.442 8.451 1.001
171 0.236 0.328 6.699 18.177 3.341 8.466 0.948
172 0.249 0.314 6.265 17.736 2.793 7.838 0.789
173 0.214 0.253 6.474 19.764 3.193 7.998 0.812
174 0.229 0.255 5.546 11.059 1.711 5.929 0.579
175 0.262 0.350 7.367 28.288 3.878 10.103 1.059
176 0.243 0.359 8.845 26.305 4.632 11.571 1.336
177 0.188 0.338 9.192 25.255 5.092 11.157 1.540
178 0.104 0.184 7.889 22.403 4.703 8.128 1.134
179 0.124 0.257 8.008 20.819 4.461 8.448 1.329
180 0.213 0.426 8.625 26.643 4.987 11.195 1.603
181 0.251 0.458 9.436 28.075 5.525 12.921 1.737
182 0.229 0.487 9.267 26.290 4.756 11.752 1.681
183 0.224 0.456 9.423 26.841 5.003 11.990 1.700
184 0.212 0.391 8.208 25.427 4.723 10.623 1.455
185 0.197 0.378 8.497 23.785 4.592 10.414 1.472
186 0.179 0.361 8.926 20.802 4.625 10.213 1.544
187 0.133 0.216 9.944 23.977 5.491 10.566 1.445
188 0.110 0.182 8.941 20.210 3.866 8.260 1.205
189 0.091 0.120 8.357 18.609 3.985 7.421 0.892
190 0.021 0.027 5.502 9.533 1.758 2.632 0.144
191 0.035 0.072 7.218 13.487 2.618 4.262 0.621
192 0.045 0.074 6.334 13.940 2.487 4.276 0.535
193 0.087 0.133 6.879 20.005 2.833 6.045 0.805
194 0.095 0.126 7.749 19.647 3.071 6.810 0.839
195 0.170 0.228 8.562 19.261 3.584 9.041 1.087
196 0.172 0.199 9.131 25.599 4.182 10.192 1.070
197 0.181 0.231 9.117 18.460 3.986 9.778 1.139
198 0.184 0.242 8.403 21.182 3.657 9.350 1.068
199 0.193 0.257 7.746 17.816 3.215 8.536 0.986
200 0.172 0.235 6.843 19.540 3.037 7.600 0.890
201 0.113 0.125 6.547 16.579 2.369 5.947 0.648
202 0.095 0.177 7.431 21.844 3.633 7.035 1.053
203 0.058 0.108 6.858 17.825 3.615 5.582 0.771
204 0.098 0.148 8.464 16.587 3.302 7.153 1.027
205 0.118 0.155 8.572 19.454 3.830 8.184 1.002
206 0.107 0.147 7.760 17.236 3.461 7.149 0.905
207 0.129 0.181 8.555 18.978 3.592 8.235 1.071
208 0.106 0.126 8.592 19.047 3.837 7.870 0.892
209 0.095 0.117 7.937 15.682 2.991 6.612 0.802
210 0.110 0.113 6.457 15.428 2.445 5.834 0.595
211 0.088 0.080 7.349 19.423 3.296 6.550 0.541
212 0.089 0.101 6.422 16.717 2.467 5.516 0.589
213 0.069 0.078 6.690 14.042 2.369 5.005 0.526
214 0.092 0.113 7.548 17.274 3.170 6.540 0.755
215 0.056 0.105 6.486 16.102 2.400 4.742 0.716
216 0.084 0.148 7.635 19.881 3.600 6.765 0.985
217 0.059 0.110 7.601 19.361 3.402 5.922 0.865
218 0.044 0.086 7.340 16.794 3.175 5.079 0.715
219 0.056 0.071 7.413 14.528 2.998 5.258 0.566
220 0.088 0.128 7.752 20.840 3.628 6.991 0.883
221 0.078 0.144 7.177 18.032 3.321 6.145 0.929
222 0.132 0.201 8.422 18.924 3.897 8.387 1.135
223 0.148 0.188 7.821 24.517 4.000 8.708 0.973
224 0.160 0.233 8.164 24.252 3.879 9.069 1.115
225 0.185 0.283 9.619 24.621 5.340 11.508 1.463
226 0.159 0.280 9.458 24.487 4.873 10.553 1.483
227 0.131 0.234 10.133 26.973 5.361 10.724 1.549
228 0.108 0.196 9.203 22.116 4.710 8.936 1.337
229 0.170 0.241 9.850 27.377 4.851 11.182 1.346
230 0.199 0.279 9.432 23.036 3.999 10.637 1.251
231 0.199 0.262 9.618 23.013 4.135 10.868 1.228
232 0.208 0.272 9.652 23.420 3.915 10.915 1.207
233 0.180 0.256 9.414 20.884 3.684 9.938 1.232
234 0.169 0.255 9.440 20.935 4.111 10.032 1.305
235 0.194 0.315 9.005 22.618 4.203 10.377 1.340
236 0.191 0.344 8.776 25.047 4.615 10.579 1.446
237 0.127 0.203 8.338 19.662 3.696 8.171 1.145
238 0.129 0.193 8.620 23.612 4.072 8.828 1.145
239 0.144 0.225 9.346 19.936 4.239 9.459 1.302
240 0.170 0.283 8.466 19.975 3.881 9.212 1.260
241 0.174 0.248 8.859 19.301 3.827 9.467 1.179
242 0.189 0.275 8.778 22.931 4.164 10.121 1.227
243 0.173 0.295 8.502 21.027 4.257 9.610 1.316
244 0.195 0.297 8.693 21.354 4.182 10.090 1.258
245 0.196 0.333 8.482 22.212 4.262 10.063 1.333
246 0.198 0.282 8.120 20.074 4.077 9.594 1.150
247 0.211 0.257 8.060 19.926 3.894 9.617 1.022
248 0.237 0.362 8.555 27.842 4.600 11.292 1.335
249 0.220 0.292 8.439 25.397 4.340 10.641 1.170
250 0.214 0.316 7.883 23.841 3.994 9.806 1.156
251 0.189 0.291 7.569 20.338 3.816 8.909 1.118
252 0.191 0.273 7.938 21.537 4.186 9.522 1.140
253 0.198 0.278 7.969 23.329 4.311 9.839 1.151
254 0.198 0.262 8.306 25.167 4.431 10.241 1.149
255 0.197 0.258 9.053 24.872 4.662 10.906 1.224
256 0.230 0.307 10.063 26.304 5.084 12.612 1.393
257 0.222 0.309 9.793 22.757 5.111 12.051 1.412
258 0.219 0.310 9.838 26.583 5.127 12.279 1.429
259 0.245 0.310 9.267 24.905 5.144 12.242 1.320
260 0.249 0.296 9.234 24.719 4.892 12.070 1.232
261 0.221 0.224 8.653 24.924 4.402 10.841 0.992
262 0.235 0.242 7.913 20.816 3.724 9.780 0.892
263 0.248 0.225 7.957 18.699 3.192 9.465 0.763
264 0.255 0.231 7.828 19.406 3.345 9.618 0.767
265 0.233 0.295 8.587 23.075 3.567 10.252 1.058
266 0.291 0.362 8.625 20.562 3.763 11.081 1.050
267 0.302 0.319 8.672 22.734 3.418 11.092 0.890
268 0.277 0.336 8.673 25.716 4.243 11.586 1.119
269 0.292 0.338 9.094 26.539 4.671 12.533 1.176
